批量更改
模块名,软元件,当前值,显示格式,注释
全局,R2805,―,1 位二进制数,
全局,R2806,―,1 位二进制数,
全局,R2807,―,1 位二进制数,
全局,R2808,―,1 位二进制数,
全局,R2809,―,1 位二进制数,
全局,R2810,―,1 位二进制数,
全局,R2811,―,1 位二进制数,
全局,R2812,―,1 位二进制数,
全局,R2813,―,1 位二进制数,
全局,R2814,―,1 位二进制数,
全局,R2815,―,1 位二进制数,
全局,R2900,―,1 位二进制数,
全局,R2901,―,1 位二进制数,
全局,R2902,―,1 位二进制数,
全局,R2903,―,1 位二进制数,
全局,R2904,―,1 位二进制数,
全局,R2905,―,1 位二进制数,
全局,R2906,―,1 位二进制数,
全局,R2907,―,1 位二进制数,
全局,R2908,―,1 位二进制数,
全局,R2909,―,1 位二进制数,
全局,R2910,―,1 位二进制数,
全局,R2911,―,1 位二进制数,
全局,R2912,―,1 位二进制数,
全局,R2913,―,1 位二进制数,
全局,R2914,―,1 位二进制数,
全局,R2915,―,1 位二进制数,
全局,R3000,―,1 位二进制数,
全局,R3001,―,1 位二进制数,
全局,R3002,―,1 位二进制数,
全局,R3003,―,1 位二进制数,
全局,R3004,―,1 位二进制数,
全局,R3005,―,1 位二进制数,
全局,R3006,―,1 位二进制数,
全局,R3007,―,1 位二进制数,
全局,R3008,―,1 位二进制数,
全局,R3009,―,1 位二进制数,
全局,R3010,―,1 位二进制数,
全局,R3011,―,1 位二进制数,
全局,R3012,―,1 位二进制数,
全局,R3013,―,1 位二进制数,
全局,R3014,―,1 位二进制数,
全局,R3015,―,1 位二进制数,
全局,R3100,―,1 位二进制数,
全局,R3101,―,1 位二进制数,
全局,R3102,―,1 位二进制数,
全局,R3103,―,1 位二进制数,
全局,R3104,―,1 位二进制数,
全局,R3105,―,1 位二进制数,
全局,R3106,―,1 位二进制数,
全局,R3107,―,1 位二进制数,
全局,R3108,―,1 位二进制数,
全局,R3109,―,1 位二进制数,
全局,R3110,―,1 位二进制数,
全局,R3111,―,1 位二进制数,
全局,R3112,―,1 位二进制数,
全局,R3113,―,1 位二进制数,
全局,R3114,―,1 位二进制数,
全局,R3115,―,1 位二进制数,
全局,R3200,―,1 位二进制数,
全局,R3201,―,1 位二进制数,
全局,R3202,―,1 位二进制数,
全局,R3203,―,1 位二进制数,
全局,R3204,―,1 位二进制数,
全局,R3205,―,1 位二进制数,
全局,R3206,―,1 位二进制数,
全局,R3207,―,1 位二进制数,
全局,R3208,―,1 位二进制数,
全局,R3209,―,1 位二进制数,
全局,R3210,―,1 位二进制数,
全局,R3211,―,1 位二进制数,
全局,R3212,―,1 位二进制数,
全局,R3213,―,1 位二进制数,
全局,R3214,―,1 位二进制数,
全局,R3215,―,1 位二进制数,
全局,R3300,―,1 位二进制数,
全局,R3301,―,1 位二进制数,
全局,R3302,―,1 位二进制数,
全局,R3303,―,1 位二进制数,
全局,R3304,―,1 位二进制数,
全局,R3305,―,1 位二进制数,
全局,R3306,―,1 位二进制数,
全局,R3307,―,1 位二进制数,
全局,R3308,―,1 位二进制数,
全局,R3309,―,1 位二进制数,
全局,R3310,―,1 位二进制数,
全局,R3311,―,1 位二进制数,
全局,R3312,―,1 位二进制数,
全局,R3313,―,1 位二进制数,
全局,R3314,―,1 位二进制数,
全局,R3315,―,1 位二进制数,
全局,R3400,―,1 位二进制数,
全局,R3401,―,1 位二进制数,
全局,R3402,―,1 位二进制数,
全局,R3403,―,1 位二进制数,
全局,R3404,―,1 位二进制数,
全局,R3405,―,1 位二进制数,
全局,R3406,―,1 位二进制数,
全局,R3407,―,1 位二进制数,
全局,R3408,―,1 位二进制数,
全局,R3409,―,1 位二进制数,
全局,R3410,―,1 位二进制数,
全局,R3411,―,1 位二进制数,
全局,R3412,―,1 位二进制数,
全局,R3413,―,1 位二进制数,
全局,R3414,―,1 位二进制数,
全局,R3415,―,1 位二进制数,
全局,R3500,―,1 位二进制数,
全局,R3501,―,1 位二进制数,
全局,R3502,―,1 位二进制数,
全局,R3503,―,1 位二进制数,
全局,R3504,―,1 位二进制数,
全局,R3505,―,1 位二进制数,
全局,R3506,―,1 位二进制数,
全局,R3507,―,1 位二进制数,
全局,R3508,―,1 位二进制数,
全局,R3509,―,1 位二进制数,
全局,R3510,―,1 位二进制数,
全局,R3511,―,1 位二进制数,
全局,R3512,―,1 位二进制数,
全局,R3513,―,1 位二进制数,
全局,R3514,―,1 位二进制数,
全局,R3515,―,1 位二进制数,
全局,R3600,―,1 位二进制数,
全局,R3601,―,1 位二进制数,
全局,R3602,―,1 位二进制数,
全局,R3603,―,1 位二进制数,
全局,R3604,―,1 位二进制数,
全局,R3605,―,1 位二进制数,
全局,R3606,―,1 位二进制数,
全局,R3607,―,1 位二进制数,
全局,R3608,―,1 位二进制数,
全局,R3609,―,1 位二进制数,
全局,R3610,―,1 位二进制数,
全局,R3611,―,1 位二进制数,
全局,R3612,―,1 位二进制数,
全局,R3613,―,1 位二进制数,
全局,R3614,―,1 位二进制数,
全局,R3615,―,1 位二进制数,
全局,R3700,―,1 位二进制数,
全局,R3701,―,1 位二进制数,
全局,R3702,―,1 位二进制数,
全局,R3703,―,1 位二进制数,
全局,R3704,―,1 位二进制数,
全局,R3705,―,1 位二进制数,
全局,R3706,―,1 位二进制数,
全局,R3707,―,1 位二进制数,
全局,R3708,―,1 位二进制数,
全局,R3709,―,1 位二进制数,
全局,R3710,―,1 位二进制数,
全局,R3711,―,1 位二进制数,
全局,R3712,―,1 位二进制数,
全局,R3713,―,1 位二进制数,
全局,R3714,―,1 位二进制数,
全局,R3715,―,1 位二进制数,
全局,R3800,―,1 位二进制数,
全局,R3801,―,1 位二进制数,
全局,R3802,―,1 位二进制数,
全局,R3803,―,1 位二进制数,
全局,R3804,―,1 位二进制数,
全局,R3805,―,1 位二进制数,
全局,R3806,―,1 位二进制数,
全局,R3807,―,1 位二进制数,
全局,R3808,―,1 位二进制数,
全局,R3809,―,1 位二进制数,
全局,R3810,―,1 位二进制数,
全局,R3811,―,1 位二进制数,
全局,R3812,―,1 位二进制数,
全局,R3813,―,1 位二进制数,
全局,R3814,―,1 位二进制数,
全局,R3815,―,1 位二进制数,
全局,R3900,―,1 位二进制数,
全局,R3901,―,1 位二进制数,
全局,R3902,―,1 位二进制数,
全局,R3903,―,1 位二进制数,
全局,R3904,―,1 位二进制数,
全局,R3905,―,1 位二进制数,
全局,R3906,―,1 位二进制数,
全局,R3907,―,1 位二进制数,
全局,R3908,―,1 位二进制数,
